age,education-num,relationship,income
25,7,3,0
38,9,0,0
28,12,0,1
44,10,0,1
18,10,3,0
34,6,1,0
29,9,4,0
63,15,0,1
24,10,4,0
55,4,0,0
65,9,0,1
36,13,0,0
26,9,1,0
58,9,0,0
48,9,0,1
43,14,0,1
20,10,3,0
43,9,5,0
37,9,4,0
40,16,0,1
34,13,0,1
34,10,3,0
72,4,1,0
25,13,1,0
25,13,0,0
45,9,0,1
22,9,3,0
23,9,4,0
54,9,0,0
32,10,1,0
46,10,0,1
56,7,4,0
24,13,1,0
23,10,0,0
26,9,4,0
65,9,0,0
36,13,0,1
22,3,1,0
17,6,1,0
20,9,3,0
65,14,0,1
44,11,0,1
36,9,0,0
29,7,0,0
20,10,3,0
28,11,5,1
39,4,0,0
54,10,0,0
52,7,1,0
56,9,1,0
18,10,3,0
39,9,3,0
21,10,3,0
22,9,1,1
38,5,1,0
21,10,3,0
63,9,0,0
34,13,0,1
42,9,0,1
33,9,0,0
30,13,1,0
39,10,1,0
26,14,1,0
33,9,3,0
47,9,1,0
41,13,1,0
41,12,0,1
19,10,3,0
46,9,1,0
43,9,0,0
55,10,0,1
46,11,0,0
30,9,0,0
21,10,1,0
46,10,0,0
17,6,3,0
41,9,0,0
69,9,0,0
50,9,0,0
20,10,1,0
45,10,0,0
23,13,1,0
24,10,1,0
44,9,0,1
31,10,0,0
43,9,1,0
20,7,3,0
55,9,0,1
24,10,1,0
41,14,5,1
59,13,1,0
49,4,1,0
33,14,5,1
59,13,1,0
34,14,1,0
20,9,3,0
25,13,3,0
49,6,0,0
59,9,0,1
20,9,1,0
51,10,5,0
33,10,4,0
22,10,3,0
58,5,1,0
52,9,4,0
36,6,1,0
41,9,0,0
28,9,3,0
19,10,3,0
18,9,1,0
18,9,3,0
28,10,0,0
29,11,0,1
20,9,3,0
40,10,0,0
26,9,4,0
46,9,0,0
23,7,1,0
44,9,4,0
43,13,4,1
31,13,4,0
18,10,3,0
19,10,3,0
41,10,1,0
41,9,4,0
69,9,1,0
48,16,5,1
28,9,3,0
27,9,0,1
41,14,0,1
41,10,0,0
24,9,4,0
20,9,1,0
42,16,0,1
57,9,0,0
30,12,1,0
36,9,0,1
49,4,0,0
33,9,5,0
23,6,0,0
46,14,0,0
18,10,3,0
40,9,0,1
43,9,0,1
34,14,3,0
47,9,1,0
44,11,4,0
33,9,0,1
55,13,0,1
19,9,1,0
28,10,1,0
27,7,5,0
50,4,0,0
22,7,4,0
40,13,0,1
25,10,3,0
26,9,1,0
22,13,1,0
42,10,4,0
38,13,1,0
55,7,0,0
32,9,0,0
22,9,0,0
29,13,3,0
46,14,0,1
31,10,0,1
58,16,0,1
42,9,0,0
18,9,4,0
58,9,1,0
54,9,0,1
34,14,1,0
26,13,1,0
61,8,0,0
48,14,4,0
36,10,0,1
24,11,0,0
40,10,0,0
33,9,0,1
37,10,0,1
34,14,3,0
56,10,0,1
28,9,3,1
37,13,1,0
44,9,4,0
64,10,0,0
54,9,1,0
23,9,1,0
34,13,1,0
22,9,1,0
33,13,0,1
39,13,1,1
47,10,1,0
79,4,1,0
26,9,4,0
31,10,4,0
44,10,1,0
42,15,5,1
19,9,1,0
27,9,0,1
51,10,0,1
28,13,0,0
57,13,1,0
45,13,4,0
50,11,0,1
34,13,0,0
45,4,0,0
73,9,0,0
34,13,5,1
31,10,0,1
19,7,1,0
25,10,3,0
38,11,4,0
39,13,0,0
23,13,3,0
49,9,0,0
33,9,1,0
21,3,2,0
31,11,1,0
23,13,1,0
34,13,0,0
25,9,1,0
39,9,4,0
52,9,0,1
63,5,0,1
41,10,0,0
46,13,0,1
53,9,0,0
25,5,1,0
77,10,0,0
18,8,3,0
38,15,0,0
55,14,4,0
34,9,0,1
80,9,0,0
34,11,4,0
52,10,0,0
42,9,4,0
26,10,1,0
31,9,0,0
25,9,3,0
55,9,0,0
19,10,3,0
62,10,0,0
22,10,3,0
39,9,5,0
35,9,0,0
28,9,3,0
47,9,0,1
44,9,0,0
21,10,3,0
35,11,1,0
24,13,0,1
42,13,1,0
28,13,3,0
21,10,2,0
62,10,1,0
39,9,1,0
30,9,1,0
72,15,1,0
50,10,5,0
28,14,1,0
29,10,1,0
26,13,3,0
27,14,1,0
29,10,0,1
61,9,0,0
29,6,0,0
21,10,3,0
31,7,5,0
25,9,0,0
58,6,0,1
64,10,5,1
46,14,1,0
53,9,0,1
19,9,3,0
42,9,1,0
18,7,3,0
58,13,0,1
20,10,1,0
35,9,0,1
32,9,0,1
23,9,1,0
31,10,4,0
33,13,0,0
41,10,1,0
22,9,3,0
46,10,0,1
61,10,0,0
30,9,1,0
42,9,0,1
63,6,0,0
26,10,0,0
42,6,4,0
23,10,0,0
25,9,4,0
30,5,0,1
23,9,3,0
34,11,1,1
30,9,2,0
39,10,0,1
30,7,2,0
38,10,4,0
26,9,3,0
20,10,3,0
37,13,4,0
33,9,3,0
24,13,3,0
42,13,0,1
51,9,0,0
56,12,0,1
22,10,3,0
52,10,0,0
44,13,4,1
34,9,5,0
51,10,1,1
20,10,1,0
19,10,1,0
37,13,0,1
68,9,0,1
22,10,1,0
56,13,0,0
37,9,0,0
52,2,0,0
26,9,3,0
33,14,0,0
45,14,4,0
18,7,3,0
43,10,0,1
64,16,0,1
18,9,3,0
20,10,3,0
57,9,0,1
41,9,4,0
34,14,0,1
19,9,4,0
44,5,4,0
56,6,4,0
36,9,0,0
48,13,4,0
29,9,0,1
33,13,1,0
31,3,0,0
39,14,0,1
66,9,0,1
27,13,1,1
39,9,4,1
59,4,0,1
26,9,3,0
31,11,4,0
45,9,4,0
23,9,3,0
36,9,4,0
34,10,5,1
32,9,0,1
37,13,0,1
33,13,1,0
50,15,0,1
32,12,1,0
35,13,3,0
37,7,0,0
44,10,1,0
57,10,2,0
29,10,3,0
55,9,0,1
43,15,0,1
43,10,0,0
45,10,0,1
33,14,5,0
26,6,4,0
23,10,0,0
41,4,1,0
24,9,0,0
47,13,0,0
34,9,3,0
40,9,0,1
28,13,5,0
24,9,3,0
73,10,0,0
23,9,2,0
43,9,0,1
26,13,1,0
58,16,5,1
52,9,4,0
29,7,0,1
47,7,0,0
49,9,4,0
40,7,4,0
62,9,5,0
49,9,0,1
50,13,2,1
31,9,3,0
48,14,1,0
24,9,4,0
41,9,3,0
37,9,3,0
45,13,0,1
63,9,0,0
36,14,0,0
45,13,0,0
41,13,1,0
26,12,2,0
17,7,3,0
27,9,0,0
43,9,0,0
35,9,3,0
38,13,4,0
26,9,1,0
28,10,3,0
38,13,5,1
36,7,4,0
33,9,5,1
19,9,3,0
22,12,3,0
42,6,0,0
50,6,0,1
30,9,0,0
37,10,2,0
54,15,0,1
52,13,1,0
65,2,0,0
33,9,1,0
25,10,2,0
24,13,1,0
26,11,4,0
39,9,1,1
59,9,1,0
29,10,4,0
47,7,3,0
23,10,3,0
64,9,0,0
21,9,3,0
32,10,5,1
26,9,1,0
19,10,3,0
62,14,0,0
32,13,0,1
75,6,1,0
45,9,0,0
31,13,0,1
32,9,0,0
24,13,0,0
25,13,3,0
41,9,0,0
18,10,3,0
44,16,0,1
40,10,0,0
27,13,1,0
23,13,3,0
21,10,1,0
37,9,0,0
65,9,0,0
43,14,0,1
45,9,1,0
24,13,1,0
24,10,1,0
19,10,3,0
37,13,0,1
24,9,3,0
34,10,0,0
50,9,5,0
36,9,0,0
39,13,0,0
44,4,0,0
45,9,0,0
32,7,3,0
47,14,0,1
50,9,0,0
32,11,0,0
19,9,3,0
19,10,3,0
28,14,1,0
28,9,2,0
39,14,1,1
21,10,1,0
73,10,1,0
39,4,0,0
25,10,1,0
31,10,5,0
51,10,1,0
39,13,5,0
31,13,3,0
21,10,3,0
46,13,1,1
73,9,1,0
41,9,1,0
20,9,3,0
27,12,1,0
24,13,1,0
20,10,0,0
39,11,3,0
27,13,1,0
33,7,0,0
33,9,0,0
36,5,0,0
55,10,0,0
19,10,3,0
